"establecimiento_id","establecimiento_nombre","localidad_id","localidad_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","cod_loc","cod_ent ","origen_financiamiento","tipologia_id","tipologia_nombre","tipologia","cp","domicilio","sitio_web"
70220702326907,"DEL PUEBLO",22070020000,"CAMPO LARGO",22,"CHACO",70,"INDEPENDENCIA",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3716,"YAPEYU Y GUEMES",
70221402326910,"EDEN",22140040000,"FONTANA",22,"CHACO",140,"SAN FERNANDO",40,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3514,"AVENIDA AUGUSTO REY 488",
70620072370617,"CRISOL",62007090000,"VIEDMA",62,"RÍO NEGRO",7,"ADOLFO ALSINA",90,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",8500,"CASEROS Nº1625",
70065682313758,"FARMACIA J.R. S.C.S.",6568010001,"CASTELAR",6,"BUENOS AIRES",568,"MORÓN",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1712,"CURUTCHET 2418",
70068052313759,"FERREYRA",6805010010,"TIGRE",6,"BUENOS AIRES",805,"TIGRE",10,10,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1648,"AV. SANTAMARIA 2418",
70062602313760,"SENA",6260010004,"MONTE GRANDE",6,"BUENOS AIRES",260,"ESTEBAN ECHEVERRÍA",10,4,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1842,"NUESTRAS MALVINAS 2419",
70061122313761,"BRAGAGNOLO",6112010000,"BRAGADO",6,"BUENOS AIRES",112,"BRAGADO",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"ELIZONDO 2308",
70060912313762,"ELIAS",6091010001,"BERAZATEGUI",6,"BUENOS AIRES",91,"BERAZATEGUI",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1884,"160 2437",
70060582313763,"RIERA",6658010007,"QUILMES OESTE",6,"BUENOS AIRES",658,"QUILMES",10,7,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"TRIUNVIRATO 2447",
70060582313764,"ARBURUA",6658010007,"QUILMES OESTE",6,"BUENOS AIRES",658,"QUILMES",10,7,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1882,"PANAMA 2448",
70067072313765,"FUILLERAT",6707060000,"SALADILLO",6,"BUENOS AIRES",707,"SALADILLO",60,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7260,"RIVADAVIA 2449",
70060352313766,"CARRIZO",6035010007,"SARANDI",6,"BUENOS AIRES",35,"AVELLANEDA",10,7,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1872,"General Arredondo 2798",
70068402313767,"ROITMAN",6840010012,"SAENZ PEÑA",6,"BUENOS AIRES",840,"TRES DE FEBRERO",10,12,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"AMEGHINO 2799",
70068332313768,"FLEEMING",6833100000,"TRES ARROYOS",6,"BUENOS AIRES",833,"TRES ARROYOS",100,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"JUAN B. ISTILART 280",
70065812313769,"ZUBIAGA LEOZ",6581040002,"QUEQUEN",6,"BUENOS AIRES",581,"NECOCHEA",40,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7631,"519 2699",
